2.0 TO 2.5; 0.0 TO 1.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 3.5 TO 4.0; 3.0 TO 4.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 3.5 TO 4.0; 4.0 TO 5.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 3.5 TO 4.0; 5.0 TO 6.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 3.5 TO 4.0; 6.0 TO 7.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 3.5 TO 4.0; 7.0 TO 8.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 4.0 TO 4.5; 1.0 TO 2.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 4.0 TO 4.5; 2.0 TO 3.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 4.0 TO 4.5; 3.0 TO 4.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 4.0 TO 4.5; 4.0 TO 5.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 4.0 TO 4.5; 5.0 TO 6.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 4.0 TO 4.5; 6.0 TO 7.0; -;
4.0 TO 4.5; 7.0 TO 8.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
